
t_action
actionId	deviceId	attribute	newValue
150	76	Device Status	2
151	75	Device Status	2
152	76	Device Status	2
153	79	temperature	30
156	79	temperature	14
164	79	Device Status	4
166	75	Device Status	1
167	78	Device Status	1
168	78	Device Status	2
171	82	Device Status	1
172	79	Device Status	4
174	112	Device Status	1
175	82	Device Status	1
176	113	Device Status	3
177	104	Device Status	1
178	108	Device Status	1
179	95	Device Status	2
180	103	Device Status	2
181	104	Device Status	2
182	95	Device Status	2
183	120	Device Status	1
184	120	Device Status	2
185	79	Device Status	3
186	79	temperature	25
187	82	Device Status	1
188	122	Device Status	2
189	121	Device Status	2
190	121	Device Status	2
191	83	Device Status	1
192	73	Device Status	1
193	80	Device Status	1
194	88	Device Status	1
195	89	Device Status	1
196	74	Device Status	1
197	79	Device Status	1
198	91	Device Status	1
199	78	Device Status	2
200	79	Device Status	1
201	86	Device Status	1
202	103	Device Status	2
203	75	Device Status	1
204	101	Device Status	1
205	75	Device Status	2
206	99	Device Status	4
207	73	Device Status	1
208	83	model	1
209	82	Device Status	1
210	84	Device Status	1
211	116	Device Status	2
212	90	Device Status	1
213	115	Device Status	1
215	73	Device Status	1
216	77	Device Status	1
217	76	Device Status	4
218	84	Device Status	1
219	82	Device Status	1
220	101	Device Status	1
221	102	Device Status	1
222	99	Device Status	4
223	103	Device Status	1
224	97	Device Status	1
225	104	Device Status	2
226	96	Device Status	1
227	106	Device Status	1
228	119	Device Status	1
230	117	Device Status	1
231	116	Device Status	4
232	111	Device Status	2
233	110	Device Status	1
234	113	Device Status	2
235	85	Device Status	1
236	107	Device Status	2
237	120	Device Status	1
238	82	Device Status	1
239	74	Device Status	1
240	111	Device Status	2
241	106	Device Status	1
242	79	Device Status	2
243	89	Device Status	1
244	91	Device Status	1
245	92	Device Status	1
246	86	Device Status	1
247	95	Device Status	2
248	98	Device Status	1
249	107	Device Status	1
250	97	Device Status	1
251	99	Device Status	5
252	116	temperature	24
253	118	Device Status	1
254	113	Device Status	1
255	114	Device Status	2
256	110	Device Status	2
259	82	Device Status	1
260	111	Device Status	2
261	91	Device Status	1
262	77	Device Status	1
263	111	Device Status	2
264	116	Device Status	4
265	76	Device Status	4
267	84	Device Status	2
268	81	Device Status	2
269	97	Device Status	1
271	107	Device Status	1
272	104	Device Status	1
273	96	Device Status	1
274	99	Device Status	4
275	101	Device Status	2
276	103	Device Status	2
277	116	Device Status	4
278	117	Device Status	1
279	111	Device Status	1
280	115	Device Status	1
281	113	Device Status	2
282	115	Device Status	2
283	114	screen brightness	4
284	122	Device Status	2
285	115	Device Status	2
286	107	Device Status	1
288	106	Device Status	1
289	106	Device Status	2
290	96	Device Status	2
291	107	Device Status	1
292	107	Device Status	2
293	82	Device Status	1
294	74	Device Status	2
295	74	Device Status	1
296	86	Device Status	1
297	91	Device Status	1
298	87	Device Status	2
299	85	Device Status	2
300	81	Device Status	2
301	91	Device Status	1
302	90	Device Status	2
303	82	wind speed	3
304	74	Device Status	2
305	79	Device Status	4
306	77	Device Status	2
307	97	Device Status	2
308	95	Device Status	2
309	106	Device Status	1
310	96	Device Status	1
311	99	Device Status	1
312	103	Device Status	1
313	107	Device Status	1
314	116	Device Status	1
315	115	Device Status	1
316	110	Device Status	1
317	111	Device Status	2
318	111	Device Status	2
319	112	Device Status	2
320	110	Device Status	2
324	82	wind speed	4
325	82	Timing	1
326	74	Device Status	2
327	82	Device Status	2
328	84	Device Status	1
329	84	Device Status	2
330	99	temperature	28
331	103	Device Status	1
332	99	Device Status	1
333	103	Device Status	2
334	106	Device Status	1
335	101	Device Status	1
336	107	Device Status	1
337	113	Device Status	3
338	115	timing	2
339	116	Device Status	3
340	116	temperature	24
341	117	Device Status	1
342	112	Device Status	1
343	110	Device Status	1
344	116	temperature	26
345	112	Device Status	2
346	121	Device Status	1
347	112	Device Status	1
348	115	Device Status	2
349	116	Device Status	4
350	116	temperature	26
351	82	Device Status	1
352	82	Device Status	1
353	82	wind speed	2
354	81	Device Status	1
355	91	Device Status	1
356	77	Device Status	1
357	79	Device Status	4
358	81	Device Status	2
360	107	Device Status	1
361	95	Device Status	2
362	102	Device Status	1
363	74	Device Status	2
364	75	Device Status	2
365	77	Device Status	1
366	79	temperature	27
367	81	Device Status	1
368	82	Device Status	1
369	83	Device Status	1
370	85	Device Status	1
371	91	Device Status	1
372	93	Device Status	1
373	74	Device Status	1
374	75	Device Status	1
375	77	Device Status	2
376	78	Device Status	2
377	79	Device Status	1
378	81	Device Status	2
379	82	Device Status	2
380	83	Device Status	2
381	84	Device Status	2
382	85	Device Status	2
383	86	Device Status	1
384	87	Device Status	2
385	89	Device Status	1
386	90	Device Status	2
387	91	Device Status	2
388	92	Device Status	2
389	93	Device Status	2
390	90	Device Status	1
391	85	Device Status	1
392	76	Device Status	4
393	82	Device Status	2
394	82	Device Status	1
395	74	Device Status	2
396	82	wind speed	3
397	93	Device Status	2
398	78	screen brightness	4
399	106	Device Status	1
400	101	Device Status	1
401	107	Device Status	1
402	96	Device Status	1
403	108	Device Status	1
404	77	Device Status	1
405	76	Device Status	1
406	82	wind speed	3
407	110	Device Status	1
412	79	temperature	23
413	76	Device Status	1
414	77	Device Status	1
415	81	timing	3
416	78	volume	4
417	77	Device Status	1
418	99	temperature	25
421	91	Device Status	2
422	75	Device Status	1
423	87	Device Status	1
424	84	Device Status	1
425	75	Device Status	1
427	82	Device Status	1
428	82	Device Status	2
429	76	Device Status	4
430	91	Device Status	2
